train_loss,train_acc,train_f1_macro,dev_loss,dev_acc,dev_f1_macro
1.9428755326704545,17.87878787878788,0.11119655370785729,1.9364083221980504,21.428571428571427,0.14446188731903017
1.9256791548295455,23.484848484848484,0.17159976409277153,1.9226706572941372,20.714285714285715,0.13675187374006167
1.908447265625,26.060606060606062,0.20903220164037936,1.8922669717243739,28.571428571428573,0.19617172382149342
1.891650390625,27.272727272727273,0.18617799223507117,1.8796757868358067,26.428571428571427,0.21223770636999353
1.8645152698863636,30.0,0.2551813074152541,1.84090119770595,32.857142857142854,0.22995522995522993
1.8295558120265152,32.27272727272727,0.2543972359447523,1.8217957939420428,27.142857142857142,0.19800152058216572
1.7988695549242424,34.39393939393939,0.2757164512178581,1.7827035393033708,30.714285714285715,0.19997754152165917
1.7629868016098484,31.818181818181817,0.2525305007859386,1.7398290600095476,33.57142857142857,0.24101752981894511
1.7348740086410985,33.93939393939394,0.26278790302221205,1.7146355765206474,30.714285714285715,0.21792607453940477
1.7073967211174241,35.45454545454545,0.2834675354940834,1.6895930358341762,35.0,0.2622834681658211
1.673684599905303,34.696969696969695,0.2757602928257769,1.6624466180801392,35.0,0.2603823629310886
1.6406422008167614,40.0,0.34192065623120504,1.6424628359930855,35.0,0.26767983789260386
1.6164345481178977,39.24242424242424,0.3304197554382986,1.6150077819824218,39.285714285714285,0.32458105894421924
1.6039498993844696,39.54545454545455,0.33950874845419104,1.62465455191476,36.42857142857143,0.3076328579647248
1.5824179909446023,42.121212121212125,0.3775771153843109,1.5832946964672634,39.285714285714285,0.32255805039056273
1.569571200284091,39.39393939393939,0.3389777314378798,1.569095471927098,38.57142857142857,0.33305375614595645
1.5444296172170928,41.515151515151516,0.34589093877622534,1.5684096472603934,37.857142857142854,0.32192032926023073
1.54736152417732,41.06060606060606,0.35649201600925634,1.5496170486722673,43.57142857142857,0.38399763505488943
1.5341266978870738,42.57575757575758,0.3669972004477513,1.5419362681252615,42.142857142857146,0.36274083059797346
1.5270860151811079,41.96969696969697,0.3658959716648197,1.545644543852125,37.857142857142854,0.3269675464380933
